Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State
Tech Data,"$36,775 ",$116.60 ,"$12,653 ","14,000",Wholesalers,Wholesalers: Electronics and Office Equipment,Clearwater,FL
TIAA,"$36,025 ","$1,049.70 ","$583,632 ","16,829",Financials,"Insurance: Life, Health (Mutual)",New York,NY
TJX,"$35,865 ","$2,607.90 ","$14,058 ","249,000",Retailing,Specialty Retailers: Apparel,Framingham,MA
American Express,"$35,583 ","$2,736.00 ","$181,159 ","55,000",Financials,Diversified Financials,New York,NY
Coca-Cola,"$35,410 ","$1,248.00 ","$87,896 ","61,800","Food, Beverages &  Tobacco",Beverages,Atlanta,GA
Publix Super Markets,"$34,837 ","$2,291.90 ","$18,184 ","193,000",Food &  Drug Stores,Food and Drug Stores,Lakeland,FL
Nike,"$34,350 ","$4,240.00 ","$23,259 ","74,400",Apparel,Apparel,Beaverton,OR
Andeavor,"$34,204 ","$1,528 ","$28,573 ",14300,Energy,Petroleum Refining,San Antonio,TX
World Fuel Services,"$33,696 ",($170.20),"$5,588 ","5,000",Energy,Energy,Miami,FL
Exelon,"$33,531 ","$3,770.00 ","$116,700 ","34,621",Energy,Utilities: Gas and Electric,Chicago,IL
Massachusetts Mutual Life Insurance,"$33,495 ",$513.00 ,"$288,855 ","11,811",Financials,"Insurance: Life, Health (Mutual)",Springfield,MA
Rite Aid,"$32,845 ",$4.10 ,"$11,594 ","70,430",Food &  Drug Stores,Food and Drug Stores,Camp Hill,PA
ConocoPhillips,"$32,584 ",($855.00),"$73,362 ","11,400",Energy,"Mining, Crude-Oil Production",Houston,TX
CHS,"$31,935 ",$127.90 ,"$15,974 ","11,626","Food, Beverages &  Tobacco",Food Production,Inver Grove Heights,MN
3M,"$31,657 ","$4,858.00 ","$37,987 ","91,536",Industrials,Miscellaneous,St Paul,MN
Time Warner,"$31,271 ","$5,247.00 ","$69,209 ","26,000",Media,Entertainment,New York,NY
General Dynamics,"$30,973 ","$2,912.00 ","$35,046 ","98,600",Aerospace &  Defense,Aerospace and Defense,Falls Church,VA
USAA,"$30,016 ","$2,421.90 ","$155,391 ","32,705",Financials,Insurance: Property and Casualty (Stock),San Antonio,TX
Capital One Financial,"$29,999 ","$1,982.00 ","$365,693 ","49,300",Financials,Commercial Banks,McLean,VA
Deere,"$29,738 ","$2,159.10 ","$65,786 ","60,476",Industrials,Construction and Farm Machinery,Moline,IL
INTL FCStone,"$29,424 ",$6.40 ,"$6,243 ","1,607",Financials,Diversified Financials,New York,NY
Northwestern Mutual,"$29,331 ","$1,017.00 ","$265,049 ","5,437",Financials,"Insurance: Life, Health (Mutual)",Milwaukee,WI
Enterprise Products Partners,"$29,242 ","$2,799.30 ","$54,418 ","7,000",Energy,Pipelines,Houston,TX
Travelers Cos.,"$28,902 ","$2,056.00 ","$103,483 ","30,800",Financials,Insurance: Property and Casualty (Stock),New York,NY
Hewlett Packard Enterprise,"$28,871 ",$344.00 ,"$61,406 ","66,000",Technology,"Computers, Office Equipment",Palo Alto,CA
Philip Morris International,"$28,748 ","$6,035.00 ","$42,968 ","80,600","Food, Beverages &  Tobacco",Tobacco,New York,NY
Twenty-First Century Fox,"$28,500 ","$2,952.00 ","$50,724 ","21,700",Media,Entertainment,New York,NY
AbbVie,"$28,216 ","$5,309.00 ","$70,786 ","29,000",Health Care,Pharmaceuticals,North Chicago,IL
Abbott Laboratories,"$27,390 ",$477.00 ,"$76,250 ","99,000",Health Care,Medical Products and Equipment,Lake Bluff,IL
Progressive,"$26,839 ","$1,592.20 ","$38,701 ","33,656",Financials,Insurance: Property and Casualty (Stock),Mayfield,OH
Arrow Electronics,"$26,813 ",$402.00 ,"$16,463 ","18,800",Wholesalers,Wholesalers: Electronics and Office Equipment,Centennial,CO
Kraft Heinz,"$26,232 ","$10,999.00 ","$120,232 ","39,000","Food, Beverages &  Tobacco",Food Consumer Products,Pittsburgh,PA
Plains GP Holdings,"$26,223 ",($731.00),"$26,753 ","4,850",Energy,Pipelines,Houston,TX
Gilead Sciences,"$26,107 ","$4,628.00 ","$70,283 ","10,000",Health Care,Pharmaceuticals,San Mateo,CA
Mondelez International,"$25,896 ","$2,922.00 ","$63,109 ","83,000","Food, Beverages &  Tobacco",Food Consumer Products,Deerfield,IL
Northrop Grumman,"$25,803 ","$2,015.00 ","$34,917 ","70,000",Aerospace &  Defense,Aerospace and Defense,Falls Church,VA
Raytheon,"$25,348 ","$2,024.00 ","$30,860 ","64,000",Aerospace &  Defense,Aerospace and Defense,Waltham,MA
Macys,"$24,837 ","$1,547.00 ","$19,381 ","130,000",Retailing,General Merchandisers,Cincinnati,OH
US Foods Holding,"$24,147 ",$444.30 ,"$9,037 ","25,204",Wholesalers,Wholesalers: Food and Grocery,Rosemont,IL
U.S. Bancorp,"$23,996 ","$6,218.00 ","$462,040 ","72,402",Financials,Commercial Banks,Minneapolis,MN
Dollar General,"$23,471 ","$1,539.00 ","$12,517 ","129,000",Retailing,Specialty Retailers: Other,Goodlettsville,TN
International Paper,"$23,302 ","$2,144.00 ","$33,903 ","56,000",Materials,"Packaging, Containers",Memphis,TN
Duke Energy,"$23,189 ","$3,059.00 ","$137,914 ","29,060",Energy,Utilities: Gas and Electric,Charlotte,NC
Southern,"$23,031 ",$842.00 ,"$111,005 ","31,344",Energy,Utilities: Gas and Electric,Atlanta,GA
Marriott International,"$22,894 ","$1,372.00 ","$23,948 ","177,000","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Bethesda,MD
Avnet,"$22,872 ",$525.30 ,"$9,700 ","15,700",Wholesalers,Wholesalers: Electronics and Office Equipment,Phoenix,AZ
Eli Lilly,"$22,871 ",($204.10),"$44,981 ","40,655",Health Care,Pharmaceuticals,Indianapolis,IN
Amgen,"$22,849 ","$1,979.00 ","$79,954 ","20,800",Health Care,Pharmaceuticals,Thousand Oaks,CA
McDonalds,"$22,820 ","$5,192.30 ","$33,804 ","235,000","Hotels, Restaurants &  Leisure",Food Services,Oak Brook,IL
Starbucks,"$22,387 ","$2,884.70 ","$14,366 ","277,000","Hotels, Restaurants &  Leisure",Food Services,Seattle,WA
Qualcomm,"$22,291 ","$2,466.00 ","$65,486 ","33,800",Technology,Semiconductors and Other Electronic Components,San Diego,CA
Dollar Tree,"$22,246 ","$1,714.30 ","$16,333 ","116,200",Retailing,Specialty Retailers: Other,Chesapeake,VA
PBF Energy,"$21,787 ",$415.50 ,"$8,118 ","3,165",Energy,Petroleum Refining,Parsippany-Troy Hills,NJ
Icahn Enterprises,"$21,744 ","$2,430.00 ","$31,801 ","89,034",Financials,Diversified Financials,New York,NY
Aflac,"$21,667 ","$4,604.00 ","$137,217 ","11,318",Financials,"Insurance: Life, Health (stock)",Columbus,GA
AutoNation,"$21,535 ",$434.60 ,"$10,272 ","26,000",Retailing,"Automotive Retailing, Services",Fort Lauderdale,FL
Penske Automotive Group,"$21,389 ",$613.30 ,"$10,541 ","26,000",Retailing,"Automotive Retailing, Services",Bloomfield Hills,MI
Whirlpool,"$21,253 ",$350.00 ,"$20,038 ","92,000",Industrials,"Electronics, Electrical Equip.",Benton Harbor,MI
Union Pacific,"$21,240 ","$10,712.00 ","$57,806 ","41,992",Transportation,Railroads,Omaha,NE
Southwest Airlines,"$21,171 ","$3,488.00 ","$25,110 ","56,110",Transportation,Airlines,Dallas,TX
ManpowerGroup,"$21,034 ",$545.40 ,"$8,884 ","29,000",Business Services,Temporary Help,Milwaukee,WI
Thermo Fisher Scientific,"$20,918 ","$2,225.00 ","$56,669 ","66,100",Technology,"Scientific,Photographic and  Control Equipment",Waltham,MA
Bristol-Myers Squibb,"$20,776 ","$1,007.00 ","$33,551 ","23,700",Health Care,Pharmaceuticals,New York,NY
Halliburton,"$20,620 ",($463.00),"$25,085 ","55,000",Energy,"Oil and Gas Equipment, Services",Houston,TX
Tenet Healthcare,"$20,613 ",($704.00),"$23,385 ","111,980",Health Care,Health Care: Medical Facilities,Dallas,TX
Lear,"$20,467 ","$1,313.40 ","$11,946 ","165,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Southfield,MI
Cummins,"$20,428 ",$999.00 ,"$18,075 ","58,600",Industrials,Industrial Machinery,Columbus,IN
Micron Technology,"$20,322 ","$5,089.00 ","$35,336 ","34,100",Technology,Semiconductors and Other Electronic Components,Boise,ID
Nucor,"$20,252 ","$1,318.70 ","$15,841 ","25,100",Materials,Metals,Charlotte,NC
Molina Healthcare,"$19,883 ",($512.00),"$8,471 ","20,000",Health Care,Health Care: Insurance and Managed Care,Long Beach,CA
Fluor,"$19,521 ",$191.40 ,"$9,328 ","56,706",Engineering &  Construction,"Engineering, Construction",Irving,TX
Altria Group,"$19,494 ","$10,222.00 ","$43,202 ","8,300","Food, Beverages &  Tobacco",Tobacco,Richmond,VA
Paccar,"$19,456 ","$1,675.20 ","$23,440 ","25,000",Industrials,Construction and Farm Machinery,Bellevue,WA
Hartford Financial Services,"$19,228 ","($3,131.00)","$225,260 ","16,400",Financials,Insurance: Property and Casualty (Stock),Hartford,CT
Kohls,"$19,095 ",$859.00 ,"$13,340 ","85,000",Retailing,General Merchandisers,Menomonee Falls,WI
Western Digital,"$19,093 ",$397.00 ,"$29,860 ","67,629",Technology,"Computers, Office Equipment",San Jose,CA
Jabil,"$19,063.10 ",$129.10 ,"$11,096 ",170000,Technology,Semiconductors and Other Electronic Components,St. Petersburg,FL
Community Health Systems,"$18,477 ","($2,459.00)","$17,450 ","86,000",Health Care,Health Care: Medical Facilities,Franklin,TN
Visa,"$18,358 ","$6,699.00 ","$67,977 ","15,000",Business Services,Financial Data Services,SF,CA
Danaher,"$18,330 ","$2,492.10 ","$46,649 ","67,000",Health Care,Medical Products and Equipment,Leavenworth,WA
Kimberly-Clark,"$18,259 ","$2,278.00 ","$15,151 ","42,000",Household Products,Household and Personal Products,Irving,TX
AECOM,"$18,203 ",$339.40 ,"$14,397 ","87,000",Engineering &  Construction,"Engineering, Construction",Los Angeles,CA
PNC Financial Services,"$18,035 ","$5,338.00 ","$380,768 ","51,632",Financials,Commercial Banks,Pittsburgh,PA
CenturyLink,"$17,656 ","$1,389.00 ","$75,611 ","51,000",Telecommunications,Telecommunications,Monroe,LA
NextEra Energy,"$17,195 ","$5,378.00 ","$97,827 ","14,000",Energy,Utilities: Gas and Electric,North Palm Beach,FL
PG& E Corp.,"$17,135 ","$1,646.00 ","$68,012 ","23,000",Energy,Utilities: Gas and Electric,SF,CA
Synnex,"$17,046 ",$301.20 ,"$7,699 ","113,600",Wholesalers,Wholesalers: Electronics and Office Equipment,Fremont,CA
WellCare Health Plans,"$17,007 ",$373.70 ,"$8,365 ","8,900",Health Care,Health Care: Insurance and Managed Care,Tampa,FL
Performance Food Group,"$16,762 ",$96.30 ,"$3,804 ","14,000",Wholesalers,Wholesalers: Food and Grocery,Richmond,VA
Sears Holdings,"$16,702 ",($383.00),"$7,262 ","89,000",Retailing,General Merchandisers,Hoffman Estates,IL
Synchrony Financial,"$16,695 ","$1,935.00 ","$95,808 ","16,000",Financials,Diversified Financials,Stamford,CT
CarMax,"$16,637 ",$627.00 ,"$16,279 ","24,344",Retailing,"Automotive Retailing, Services",Richmond,VA
Bank of New York Mellon,"$16,621 ","$4,090.00 ","$371,758 ",52500,Financials,Commercial Banks,New York City,NY
Freeport-McMoRan,"$16,416 ","$1,817.00 ","$37,302 ","25,200",Energy,"Mining, Crude-Oil Production",Phoenix,AZ
Genuine Parts,"$16,309 ",$616.80 ,"$12,412 ","48,000",Wholesalers,Wholesalers: Diversified,Atlanta,GA
Emerson Electric,"$16,301 ","$1,518.00 ","$19,589 ","76,500",Industrials,Industrial Machinery,St. Louis,MO
DaVita,"$16,038 ",$663.60 ,"$18,948 ","74,500",Health Care,Health Care: Medical Facilities,Denver,CO
Supervalu,"$16,009 ",$650.00 ,"$3,580 ","29,000",Food &  Drug Stores,Food and Drug Stores,Eden Prairie,MN
Gap,"$15,855 ",$848.00 ,"$7,989 ","135,000",Retailing,Specialty Retailers: Apparel,SF,CA
General Mills,"$15,620 ","$1,657.50 ","$21,813 ","38,000","Food, Beverages &  Tobacco",Food Consumer Products,Minneapolis,MN
Nordstrom,"$15,478 ",$437.00 ,"$8,115 ","76,000",Retailing,General Merchandisers,Seattle,WA
Colgate-Palmolive,"$15,454 ","$2,024.00 ","$12,676 ","35,900",Household Products,Household and Personal Products,New York,NY
American Electric Power,"$15,425 ","$1,912.60 ","$64,729 ","17,666",Energy,Utilities: Gas and Electric,Columbus,OH
XPO Logistics,"$15,381 ",$340.20 ,"$12,602 ","95,000",Transportation,Transportation and Logistics,Greenwich,CT
Goodyear Tire & Rubber,"$15,377 ",$346.00 ,"$17,064 ","64,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Akron,OH
Omnicom Group,"$15,274 ","$1,088.40 ","$24,931 ","77,300",Business Services,"Advertising, marketing",New York,NY
CDW,"$15,192 ",$523.00 ,"$6,957 ","8,726",Technology,Information Technology Services,Lincolnshire,IL
Sherwin-Williams,"$14,984 ","$1,772.30 ","$19,958 ","52,695",Chemicals,Chemicals,Cleveland,OH
PPG Industries,"$14,967 ","$1,591.00 ","$16,538 ","47,200",Chemicals,Chemicals,Pittsburgh,PA
Texas Instruments,"$14,961 ","$3,682.00 ","$17,642 ","29,714",Technology,Semiconductors and Other Electronic Components,Dallas,TX
C.H. Robinson Worldwide,"$14,869 ",$504.90 ,"$4,236 ","15,074",Transportation,Transportation and Logistics,Eden Prairie,MN
WestRock,"$14,860 ",$708.20 ,"$25,089 ","44,800",Materials,"Packaging, Containers",Atlanta,GA
Cognizant Technology Solutions,"$14,810 ","$1,504.00 ","$15,221 ","260,000",Technology,Information Technology Services,Teaneck,NJ
Newell Brands,"$14,742 ","$2,748.80 ","$33,136 ","49,000",Household Products,"Home Equipment, Furnishings",Hoboken,NJ
CBS,"$14,710 ",$357.00 ,"$20,843 ","14,715",Media,Entertainment,New York,NY
Envision Healthcare,"$14,701 ",($228.00),"$16,573 ","57,750",Health Care,Health Care: Pharmacy and Other Services,Nashville,TN
Monsanto,"$14,640 ","$2,260.00 ","$21,333 ","21,900",Chemicals,Chemicals,St. Louis,MO
Aramark,"$14,604 ",$373.90 ,"$11,006 ","215,000",Business Services,Diversified Outsourcing Services,Philadelphia,PA
Applied Materials,"$14,537 ","$3,434.00 ","$19,419 ","18,400",Technology,Semiconductors and Other Electronic Components,Santa Clara,CA
Waste Management,"$14,485 ","$1,949.00 ","$21,829 ","42,300",Business Services,Waste Management,Houston,TX
DISH Network,"$14,391 ","$2,098.70 ","$29,774 ","17,000",Telecommunications,Telecommunications,Englewood,CO
Illinois Tool Works,"$14,314 ","$1,687.00 ","$16,780 ","50,000",Industrials,Industrial Machinery,Glenview,IL
Lincoln National,"$14,257 ","$2,079.00 ","$281,763 ","9,047",Financials,"Insurance: Life, Health (stock)",Wayne,PA
HollyFrontier,"$14,251 ",$805.40 ,"$10,692 ","3,522",Energy,Petroleum Refining,Dallas,TX
CBRE Group,"$14,210 ",$691.50 ,"$11,484 ","80,000",Financials,Real estate,Los Angeles,CA
Textron,"$14,198 ",$307.00 ,"$15,340 ","37,000",Aerospace &  Defense,Aerospace and Defense,Providence,RI
Ross Stores,"$14,135 ","$1,362.80 ","$5,722 ","82,700",Retailing,Specialty Retailers: Apparel,Dublin,CA
Principal Financial,"$14,093 ","$2,310.40 ","$253,941 ","15,378",Financials,"Insurance: Life, Health (stock)",Des Moines,IA
D.R. Horton,"$14,091 ","$1,038.40 ","$12,185 ","7,735",Engineering &  Construction,Homebuilders,Arlington,TX
Marsh & McLennan,"$14,024 ","$1,492.00 ","$20,429 ","64,000",Financials,Diversified Financials,New York,NY
Devon Energy,"$13,949 ",$898.00 ,"$30,241 ","3,414",Energy,"Mining, Crude-Oil Production",Oklahoma City,OK
AES,"$13,850 ","($1,161.00)","$33,112 ","10,500",Energy,Utilities: Gas and Electric,Arlington,VA
Ecolab,"$13,838 ","$1,508.40 ","$19,962 ","48,400",Chemicals,Chemicals,St Paul,MN
Land O'Lakes,"$13,740 ",$314.20 ,"$9,509 ","10,000","Food, Beverages &  Tobacco",Food Consumer Products,Arden Hills,MN
Loews,"$13,735 ","$1,164.00 ","$79,586 ","18,100",Financials,Insurance: Property and Casualty (Stock),New York,NY
Kinder Morgan,"$13,705 ",$183.00 ,"$79,055 ","10,897",Energy,Pipelines,Houston,TX
FirstEnergy,"$13,627 ","($1,724.00)","$42,257 ","15,617",Energy,Utilities: Gas and Electric,Akron,OH
Occidental Petroleum,"$13,274 ","$1,311.00 ","$42,026 ","11,000",Energy,"Mining, Crude-Oil Production",Houston,TX
Viacom,"$13,263 ","$1,874.00 ","$23,698 ","11,200",Media,Entertainment,New York,NY
PayPal Holdings,"$13,094 ","$1,795.00 ","$40,774 ","18,700",Business Services,Financial Data Services,San Jose,CA
NGL Energy Partners,"$13,022 ",$137.00 ,"$6,320 ","2,700",Energy,Energy,Tulsa,OK
Celgene,"$13,003 ","$2,940.00 ","$30,141 ","7,467",Health Care,Pharmaceuticals,Summit,NJ
Arconic,"$12,960 ",($74.00),"$18,718 ","41,500",Aerospace &  Defense,Aerospace and Defense,New York,NY
Kellogg,"$12,923 ","$1,269.00 ","$16,350 ","32,944","Food, Beverages &  Tobacco",Food Consumer Products,Battle Creek,MI
Las Vegas Sands,"$12,882 ","$2,806.00 ","$20,687 ","50,500","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV
Stanley Black & Decker,"$12,747 ","$1,226.00 ","$19,080 ","57,765",Household Products,"Home Equipment, Furnishings",New Britain,CT
Booking Holdings,"$12,681 ","$2,340.80 ","$25,451 ","22,900",Technology,Internet Services and Retailing,Norwalk,CT
Lennar,"$12,646 ",$810.50 ,"$18,745 ","9,111",Engineering &  Construction,Homebuilders,Miami,FL
L Brands,"$12,632 ",$983.00 ,"$8,149 ","59,200",Retailing,Specialty Retailers: Apparel,Columbus,OH
DTE Energy,"$12,607 ","$1,134.00 ","$33,767 ","10,200",Energy,Utilities: Gas and Electric,Detroit,MI
Dominion Energy,"$12,586 ","$2,999.00 ","$76,585 ",16200,Energy,Utilities: Gas and Electric,Richmond,VA
Reinsurance Group of America,"$12,516 ","$1,822.20 ","$60,515 ","2,640",Financials,"Insurance: Life, Health (stock)",Chesterfield,MO
J.C. Penney,"$12,506 ",($116.00),"$8,413 ","98,000",Retailing,General Merchandisers,Plano,TX
Mastercard,"$12,497 ","$3,915.00 ","$21,329 ","13,400",Business Services,Financial Data Services,Harrison,NY
BlackRock,"$12,491 ","$4,970.00 ","$220,217 ","13,900",Financials,Securities,New York,NY
Henry Schein,"$12,462 ",$406.30 ,"$7,811 ","22,000",Wholesalers,Wholesalers: Health Care,Melville,NY
Guardian Life Ins. Co. of America,"$12,455 ",$455.30 ,"$75,038 ","9,283",Financials,"Insurance: Life, Health (Mutual)",New York,NY
Stryker,"$12,444 ","$1,020.00 ","$22,197 ","33,000",Health Care,Medical Products and Equipment,Kalamazoo,MI
Jefferies Financial Group,"$12,408 ",$171.70 ,"$47,169 ","12,700",Financials,Diversified Financials,New York,NY
VF,"$12,400 ",$614.90 ,"$9,959 ","69,000",Apparel,Apparel,Greensboro,NC
ADP,"$12,380 ","$1,733.40 ","$37,180 ","58,000",Business Services,Diversified Outsourcing Services,Roseland,NJ
Edison International,"$12,320 ",$565.00 ,"$52,580 ","12,521",Energy,Utilities: Gas and Electric,Rosemead,CA
Biogen,"$12,274 ","$2,539.10 ","$23,653 ","7,300",Health Care,Pharmaceuticals,Cambridge,MA
United States Steel,"$12,250 ",$387.00 ,"$9,862 ","29,200",Materials,Metals,Pittsburgh,PA
Core-Mark Holding,"$12,225 ",$33.50 ,"$1,783 ","8,413",Wholesalers,Wholesalers: Food and Grocery,South San Francisco,CA
Bed Bath & Beyond,"$12,216 ",$685.10 ,"$6,846 ","65,000",Retailing,Specialty Retailers: Other,Union,NJ
Oneok,"$12,174 ",$387.80 ,"$16,846 ","2,470",Energy,Pipelines,Tulsa,OK
BB& T Corp.,"$12,156 ","$2,394.00 ","$221,642 ","36,484",Financials,Commercial Banks,Winston-Salem,NC
Becton Dickinson,"$12,093 ","$1,100.00 ","$37,734 ","41,933",Health Care,Medical Products and Equipment,Franklin Lakes,NJ
Ameriprise Financial,"$12,075 ","$1,480.00 ","$147,470 ","13,312",Financials,Diversified Financials,Minneapolis,MN
Farmers Insurance Exchange,"$12,072 ",($65.40),"$16,165 ","13,015",Financials,Insurance: Property and Casualty (Mutual),Los Angeles,CA
First Data,"$12,052 ","$1,465.00 ","$48,269 ","22,000",Business Services,Financial Data Services,New York,NY
Consolidated Edison,"$12,033 ","$1,525.00 ","$48,111 ","15,591",Energy,Utilities: Gas and Electric,New York,NY
Parker-Hannifin,"$12,029 ",$983.40 ,"$15,490 ","56,690",Industrials,Industrial Machinery,Cleveland,OH
Anadarko Petroleum,"$11,908 ",($456.00),"$42,086 ","4,400",Energy,"Mining, Crude-Oil Production",The Woodlands,TX
Estee Lauder,"$11,824 ","$1,249.00 ","$11,568 ","46,000",Household Products,Household and Personal Products,New York,NY
State Street Corp.,"$11,774 ","$2,177.00 ","$238,425 ","36,643",Financials,Commercial Banks,Boston,MA
Tesla,"$11,759 ","($1,961.40)","$28,655 ","37,543",Motor Vehicles &  Parts,Motor Vehicles and Parts,Palo Alto,CA
Netflix,"$11,693 ",$558.90 ,"$19,013 ","5,100",Technology,Internet Services and Retailing,Los Gatos,CA
Alcoa,"$11,652 ",$217.00 ,"$17,447 ","14,600",Materials,Metals,Pittsburgh,PA
Discover Financial Services,"$11,545 ","$2,099.00 ","$100,087 ","16,500",Financials,Commercial Banks,Riverwoods,IL
Praxair,"$11,437 ","$1,247.00 ","$20,436 ","26,461",Chemicals,Chemicals,Danbury,CT
CSX,"$11,408 ","$5,471.00 ","$35,739 ","24,006",Transportation,Railroads,Jacksonville,FL
Xcel Energy,"$11,404 ","$1,148.00 ","$43,030 ","11,105",Energy,Utilities: Gas and Electric,Minneapolis,MN
Unum Group,"$11,287 ",$994.20 ,"$64,013 ","9,400",Financials,"Insurance: Life, Health (stock)",Chattanooga,TN
Universal Health Services,"$11,279 ",$752.30 ,"$10,762 ","72,300",Health Care,Health Care: Medical Facilities,King of Prussia,PA
NRG Energy,"$11,275 ","($2,153.00)","$23,318 ","5,940",Energy,Energy,Princeton,NJ
EOG Resources,"$11,208 ","$2,582.60 ","$29,833 ","2,664",Energy,"Mining, Crude-Oil Production",Houston,TX
Sempra Energy,"$11,207 ",$256.00 ,"$50,454 ","16,046",Energy,Utilities: Gas and Electric,San Diego,CA
Toys 'R' Us,"$11,146 ",($612.00),"$7,262 ","65,000",Retailing,Specialty Retailers: Other,Wayne,NJ
Group 1 Automotive,"$11,124 ",$213.40 ,"$4,871 ","14,108",Retailing,"Automotive Retailing, Services",Houston,TX
Entergy,"$11,075 ",$411.60 ,"$46,707 ","13,504",Energy,Utilities: Gas and Electric,New Orleans,LA
Molson Coors Brewing,"$11,003 ","$1,414.20 ","$30,247 ","17,200","Food, Beverages &  Tobacco",Beverages,Denver,CO
L3 Technologies,"$11,002 ",$677.00 ,"$12,729 ","38,000",Aerospace &  Defense,Aerospace and Defense,New York,NY
Ball,"$10,983 ",$374.00 ,"$17,169 ","18,300",Materials,"Packaging, Containers",Broomfield,CO
AutoZone,"$10,889 ","$1,280.90 ","$9,260 ","70,035",Retailing,Specialty Retailers: Other,Memphis,TN
Murphy USA,"$10,853 ",$245.30 ,"$2,331 ","6,900",Retailing,Specialty Retailers: Other,El Dorado,AR
MGM Resorts International,"$10,774 ","$1,960.30 ","$29,159 ","68,500","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV
Office Depot,"$10,752 ",$181.00 ,"$6,323 ","45,000",Retailing,Specialty Retailers: Other,Boca Raton,FL
Huntsman,"$10,592 ",$636.00 ,"$10,244 ","10,000",Chemicals,Chemicals,The Woodlands,TX
Baxter International,"$10,561 ",$717.00 ,"$17,111 ","47,000",Health Care,Medical Products and Equipment,Deerfield,IL
Norfolk Southern,"$10,551 ","$5,404.00 ","$35,711 ","27,110",Transportation,Railroads,Norfolk,VA
salesforce.com,"$10,480 ",$127.50 ,"$21,010 ","29,000",Technology,Computer Software,SF,CA
Laboratory Corp. of America,"$10,441 ","$1,268.20 ","$16,568 ","60,000",Health Care,Health Care: Pharmacy and Other Services,Burlington,NC
W.W. Grainger,"$10,425 ",$585.70 ,"$5,804 ","25,050",Wholesalers,Wholesalers: Diversified,Lake Forest,IL
Qurate Retail,"$10,404 ","$2,441.00 ","$24,122 ","28,255",Retailing,Internet Services and Retailing,Englewood,CO
Autoliv,"$10,383 ",$427.10 ,"$8,550 ","67,352",Motor Vehicles &  Parts,Motor Vehicles and Parts,Auburn Hills,MI
Live Nation Entertainment,"$10,337 ",($6.00),"$7,504 ","15,050",Media,Entertainment,Beverly Hills,CA
Xerox,"$10,265 ",$195.00 ,"$15,946 ","36,100",Technology,"Computers, Office Equipment",Norwalk,CT
Leidos Holdings,"$10,170 ",$366.00 ,"$8,990 ","31,000",Technology,Information Technology Services,Reston,VA
Corning,"$10,116 ",($497.00),"$27,494 ","46,200",Industrials,"Electronics, Electrical Equip.",Corning,NY
Lithia Motors,"$10,087 ",$245.20 ,"$4,683 ","12,899",Retailing,"Automotive Retailing, Services",Medford,OR
Expedia Group,"$10,060 ",$378.00 ,"$18,516 ","22,615",Retailing,Internet Services and Retailing,Bellevue,WA
Republic Services,"$10,042 ","$1,278.40 ","$21,147 ","35,000",Business Services,Waste Management,Phoenix,AZ
Jacobs Engineering Group,"$10,023 ",$293.70 ,"$7,381 ","49,750",Engineering &  Construction,"Engineering, Construction",Dallas,TX
Sonic Automotive,"$9,867 ",$93.00 ,"$3,819 ","9,750",Retailing,"Automotive Retailing, Services",Charlotte,NC
Ally Financial,"$9,866 ",$929.00 ,"$167,148 ","7,900",Financials,Diversified Financials,Detroit,MI
LKQ,"$9,848 ",$533.70 ,"$9,367 ","43,000",Wholesalers,Wholesalers: Diversified,Chicago,IL
BorgWarner,"$9,799 ",$439.90 ,"$9,788 ","29,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Auburn Hills,MI
Fidelity National Financial,"$9,769 ",$771.00 ,"$9,151 ","24,525",Financials,Insurance: Property and Casualty (Stock),Jacksonville,FL
SunTrust Banks,"$9,741 ","$2,273.00 ","$205,962 ","23,785",Financials,Commercial Banks,Atlanta,GA
IQVIA Holdings,"$9,739 ","$1,309.00 ","$22,742 ",55000,Health Care,Health Care: Pharmacy and Other Services,Durham,NC
Reliance Steel & Aluminum,"$9,721 ",$613.40 ,"$7,751 ","14,900",Materials,Metals,Los Angeles,CA
Nvidia,"$9,714 ","$3,047.00 ","$11,241 ","11,528",Technology,Semiconductors and Other Electronic Components,Santa Clara,CA
Voya Financial,"$9,660 ","($2,992.00)","$222,532 ","6,300",Financials,Diversified Financials,New York,NY
CenterPoint Energy,"$9,614 ","$1,792.00 ","$22,736 ","7,977",Energy,Utilities: Gas and Electric,Houston,TX
eBay,"$9,567 ","($1,016.00)","$25,981 ","14,100",Technology,Internet Services and Retailing,San Jose,CA
Eastman Chemical,"$9,549 ","$1,384.00 ","$15,999 ","14,000",Chemicals,Chemicals,Kingsport,TN
American Family Insurance Group,"$9,545 ",$155.60 ,"$24,233 ","11,307",Financials,Insurance: Property and Casualty (Stock),Madison,WI
Steel Dynamics,"$9,539 ",$812.70 ,"$6,856 ","7,635",Materials,Metals,Fort Wayne,IN
Pacific Life,"$9,510 ","$1,365.00 ","$157,877 ","3,578",Financials,"Insurance: Life, Health (stock)",Newport Beach,CA
