Symbol,Company,Sector,PE_Ratio,CEO,Salary,Market Cap
MPC,Marathon Petroleum Corp.,Energy,16.06,Gary Heminger,19806050,31633740000
NLSN,Nielsen Holdings Plc,Industrials,18.73,David Kenny,19804677,13377670080
HLT,"Hilton Worldwide Holdings, Inc.",Consumer Discretionary,36.42,Christopher Nassetta,19790569,26242415796
WDC,Western Digital Corp.,Information Technology,10.19,Stephen Milligan,19738381,24760297793
ADM,Archer-Daniels-Midland Co.,Consumer Staples,17.45,Juan Luciano,19637534,23594770663
PFE,Pfizer Inc.,Health Care,12.69,Ian Read,19549213,208505541949
V,"Visa, Inc.",Information Technology,32.72,Alfred Kelly Jr.,19493946,270038723213
BMY,Bristol-Myers Squibb Co.,Health Care,20.83,Giovanni Caforio,19379755,102506501960
PSX,Phillips 66,Energy,21.11,Greg Garland,19278335,47996220000
CTXS,"Citrix Systems, Inc.",Information Technology,20.37,David Henshall,19258102,13199167493
HON,"Honeywell International, Inc.",Industrials,20.68,Darius Adamczyk,19246604,114422168609
HPQ,"HP, Inc.",Information Technology,12.07,Dion Weisler,19215534,34895294088
CI,Cigna Corp.,Health Care,18.11,David Cordani,18944045,47680910480
TJX,"The TJX Cos., Inc.",Consumer Discretionary,21.01,Ernie Herrman,18822770,48181450881
VRTX,"Vertex Pharmaceuticals, Inc.",Health Care,252.67,Jeffrey Leiden,18799147,39369386348
XOM,Exxon Mobil Corp.,Energy,21.37,Darren Woods,18777787,326148660000
VLO,Valero Energy Corp.,Energy,18.74,Joseph Gorder,18759156,39312309113
ALL,The Allstate Corp.,Financials,13.26,Thomas Wilson,18687246,34759468905
TMO,"Thermo Fisher Scientific, Inc.",Health Care,21.84,Marc Casper,18607103,83226586345
AMGN,"Amgen, Inc.",Health Care,13.76,Robert Bradway,18555266,128133340000
DE,Deere & Co.,Industrials,23.14,Samuel Allen,18525667,52186628646
FIS,"Fidelity National Information Services, Inc.",Information Technology,22.08,Gary Norcross,18451529,32308459680
WFC,Wells Fargo & Co.,Financials,13.58,Timothy Sloan,18426734,281463620775
UTX,United Technologies Corp.,Industrials,19.26,Gregory Hayes,18418315,105387272474
PH,Parker-Hannifin Corp.,Industrials,21.6,Thomas Williams,18238446,24421668509
LYB,LyondellBasell Industries NV,Materials,10.35,Bhavesh V. Patel,18206797,43556650000
EBAY,"eBay, Inc.",Information Technology,24.86,Devin Wenig,18172166,44216696399
MCK,McKesson Corp.,Health Care,11.68,John Hammergren,18143017,31534840262
UNH,"UnitedHealth Group, Inc.",Health Care,21.47,David Wichmann,18107356,218834811333
INTC,Intel Corp.,Information Technology,12.32,Brian Krzanich,18050300,211536000000
WRK,WestRock Co.,Materials,23.26,Steven Voorhees,18030504,16433340688
VFC,VF Corp.,Consumer Discretionary,25.9,Steven Rendle,17842521,31797645904
F,Ford Motor Co.,Consumer Discretionary,5.89,James Hackett,17752835,42414328338
ITW,"Illinois Tool Works, Inc.",Industrials,23.62,E. Santi,17708516,55994378108
MDT,Medtronic Plc,Health Care,17.04,Omar Ishrak,17585131,110107062300
LEN,Lennar Corp.,Consumer Discretionary,15.35,Richard Beckwitt,17583466,14615967194
TXN,Texas Instruments Incorporated,Information Technology,24.05,Richard Templeton,17576224,100262526470
IBM,International Business Machines Corp.,Information Technology,10.67,Virginia Rometty,17552218,142433003505
AFL,"Aflac, Inc.",Financials,12.24,Daniel Amos,17535398,33422948000
MET,"MetLife, Inc.",Financials,8.52,Steven Kandarian,17426745,48679364276
BBY,"Best Buy Co., Inc.",Consumer Discretionary,19.22,Hubert Joly,17382486,20831186176
PG,Procter & Gamble Co.,Consumer Staples,20.46,David Taylor,17354256,206318943299
SYMC,Symantec Corp.,Information Technology,39.37,Gregory Clark,17347581,16520497264
COF,Capital One Financial Corp.,Financials,11.85,Richard Fairbank,17333796,47637260000
CMI,"Cummins, Inc.",Industrials,16.83,N. Linebarger,17291978,28669230787
MMC,"Marsh & McLennan Cos., Inc.",Financials,20.23,Daniel Glaser,17281919,41819440000
LLY,Eli Lilly & Co.,Health Care,17.34,David Ricks,17230337,84475986228
TGT,Target Corp.,Consumer Discretionary,14.19,Brian Cornell,17204069,39816696539
PVH,PVH Corp.,Consumer Discretionary,20.98,Emanuel Chirico,17065604,11478625926
HAL,Halliburton Co.,Energy,38.86,Jeffrey Miller,16999898,43356557470
IPG,"Interpublic Group of Cos., Inc.",Consumer Discretionary,15.46,Michael Roth,16970730,8277363031
KMI,"Kinder Morgan, Inc.",Energy,25.07,Steven Kean,16908961,38612712234
GPN,"Global Payments, Inc.",Information Technology,27.86,Jeffrey Sloan,16818560,16920023264
KO,The Coca-Cola Co.,Consumer Staples,22.8,James Quincey,16701328,189855335601
FDX,FedEx Corp.,Industrials,19.45,Frederick Smith,16665398,67280478816
GE,General Electric Co.,Industrials,13.76,John Flannery,16643290,132249296250
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,22.18,Ludwig Hantson,16490250,26172439795
IQV,"IQVIA Holdings, Inc.",Health Care,21.74,Ari Bousbib,16461779,20426488713
FCX,"Freeport-McMoRan, Inc.",Materials,14.67,Richard Adkerson,16424035,25853969330
HUM,"Humana, Inc.",Health Care,22.39,Bruce Broussard,16312517,36973617235
CELG,Celgene Corp.,Health Care,13.27,Mark Alles,16223923,74921079154
SLB,Schlumberger NV,Energy,44.93,Paal Kibsgaard,16199200,96529311126
BIIB,"Biogen, Inc.",Health Care,14.3,Michel Vounatsos,16168646,69157726427
AON,Aon Plc,Financials,20.8,Gregory Case,16163875,35123123422
STT,State Street Corp.,Financials,15.35,Joseph Hooley,16102525,38059113300
BHGE,"Baker Hughes, a GE Co.",Energy,305.56,Lorenzo Simonelli,15959761,32995712852
PM,"Philip Morris International, Inc.",Consumer Staples,22.36,Andre Calantzopoulos,15934235,153580671803
EMN,Eastman Chemical Co.,Materials,12.28,Mark Costa,15918483,14226830813
MCD,McDonald's Corp.,Consumer Discretionary,23.83,Stephen Easterbrook,15876116,132101623787
DRI,"Darden Restaurants, Inc.",Consumer Discretionary,22.72,Eugene Lee Jr.,15770151,11745595320
AAPL,"Apple, Inc.",Information Technology,16.86,Timothy Cook,15682219,809508034020
PNC,"The PNC Financial Services Group, Inc.",Financials,17.55,William Demchak,15676294,73315000000
BAX,"Baxter International, Inc.",Health Care,25.12,Jose Almeida,15645125,35713732553
EXC,Exelon Corp.,Utilities,14.51,Christopher Crane,15643078,34734816899
SCHW,The Charles Schwab Corp.,Financials,29.82,Walter Bettinger II,15627607,69750188843
EMR,Emerson Electric Co.,Industrials,25.74,David Farr,15609527,44040298425
IR,Ingersoll-Rand Plc,Industrials,19.38,Michael Lamach,15585485,22785450609
NUE,Nucor Corp.,Materials,17.01,John Ferriola,15559469,20003317128
NWL,"Newell Brands, Inc.",Consumer Discretionary,9.72,Michael Polk,15547207,14438346000
BHF,"Brighthouse Financial, Inc.",Financials,22.63,Eric Steigerwalt,15537371,7066613254
APC,Anadarko Petroleum Corp.,Energy,-21.29,R. Walker,15516305,32129091747
JCI,Johnson Controls International Plc,Industrials,14.0,George Oliver,15393868,34822224800
DHR,Danaher Corp.,Health Care,22.87,Thomas Joyce,15361041,66351150000
APA,Apache Corp.,Energy,-251.53,John Christmann,15201447,15066280977
UPS,"United Parcel Service, Inc.",Industrials,18.27,David Abney,15060876,96436356833
DAL,"Delta Air Lines, Inc.",Industrials,10.37,Edward Bastian,14982448,38393603535
BDX,"Becton, Dickinson & Co.",Health Care,22.28,Vincent Forlenza,14973481,50910180308
MDLZ,"Mondelez International, Inc.",Consumer Staples,19.85,Dirk de Put,14969900,65827817742
D,"Dominion Energy, Inc.",Utilities,20.42,Thomas Farrell,14956442,47543571860
ES,Eversource Energy,Utilities,18.22,James Judge,14925381,18027633617
GLW,"Corning, Inc.",Information Technology,16.45,Wendell Weeks,14921071,25759280346
DHI,"D.R. Horton, Inc.",Consumer Discretionary,16.32,David Auld,14860487,17390873686
MKC,"McCormick & Co., Inc.",Consumer Staples,23.91,Lawrence Kurzius,14836426,13459353253
ETN,Eaton Corp. Plc,Industrials,17.08,Craig Arnold,14673845,35961772000
TRV,"The Travelers Cos., Inc.",Financials,16.48,Alan Schnitzer,14648213,38903131815
ICE,"Intercontinental Exchange, Inc.",Financials,22.95,Jeffrey Sprecher,14513403,41373051167
LNC,Lincoln National Corp.,Financials,9.49,Dennis Glass,14422495,17123031000
NDAQ,"Nasdaq, Inc.",Financials,17.78,Adena Friedman,14366397,12844304115
ECL,"Ecolab, Inc.",Materials,28.08,Douglas Baker,14364033,38460272282
AMT,American Tower Corp.,Real Estate,20.68,James Taiclet Jr.,14307936,59213892640
LOW,"Lowe's Cos., Inc.",Consumer Discretionary,23.87,Marvin Ellison,14302791,82909678852
NSC,Norfolk Southern Corp.,Industrials,20.65,James Squires,14271985,40543547441
ULTA,"Ulta Beauty, Inc.",Consumer Discretionary,32.07,Mary Dillon,14245418,13300000127
MU,"Micron Technology, Inc.",Information Technology,9.01,Sanjay Mehrotra,14241583,48576791974
ANTM,"Anthem, Inc.",Health Care,19.23,Gail Boudreaux,14184276,61221978627
PGR,Progressive Corp.,Financials,20.76,Susan Griffith,14172925,31062780000
APTV,Aptiv Plc,Consumer Discretionary,69.74,Kevin Clark,14123103,24906530300
OXY,Occidental Petroleum Corp.,Energy,195.63,Vicki Hollub,14105693,53467692395
CTSH,Cognizant Technology Solutions Corp.,Information Technology,22.44,Francisco D'Souza,14094531,45119684067
AMAT,"Applied Materials, Inc.",Information Technology,14.08,Gary Dickerson,14064540,51296481503
HRS,Harris Corp.,Information Technology,26.38,William Brown,14016113,18140726600
YUM,"Yum! Brands, Inc.",Consumer Discretionary,27.25,Greg Creed,14007038,27003303098
DUK,Duke Energy Corp.,Utilities,16.7,Lynn Good,13982960,52078185682
BSX,Boston Scientific Corp.,Health Care,20.0,Michael Mahoney,13970901,36142506007
PKI,"PerkinElmer, Inc. (United States)",Health Care,24.68,Robert Friel,13961376,8351767268
TXT,"Textron, Inc.",Industrials,22.13,Scott Donnelly,13948917,15254672353
APD,"Air Products & Chemicals, Inc.",Materials,24.22,Seifollah Ghasemi,13941507,34638387128
MNST,Monster Beverage Corp.,Consumer Staples,42.17,Rodney Sacks,13914931,36403831015
SYK,Stryker Corp.,Health Care,23.46,Kevin Lobo,13911065,57509096756
UNP,Union Pacific Corp.,Industrials,22.06,Lance Fritz,13886953,101513290382
HIG,"The Hartford Financial Services Group, Inc.",Financials,14.34,Christopher Swift,13883615,19926305632
NOV,"National Oilwell Varco, Inc.",Energy,-77.71,Clay Williams,13828435,12940096785
CSX,CSX Corp.,Industrials,21.94,James Foote,13770601,47340511707
FTV,Fortive Corp.,Industrials,25.05,James Lico,13720993,24916503061
NVDA,NVIDIA Corp.,Information Technology,82.08,Jen-Hsun Huang,13642838,138652800000
