Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State,revenue,employees
Marriott International,"$22,894 ","$1,372.00 ","$23,948 ","177,000","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Bethesda,MD,22894.0,177000
Avnet,"$22,872 ",$525.30 ,"$9,700 ","15,700",Wholesalers,Wholesalers: Electronics and Office Equipment,Phoenix,AZ,22872.0,15700
Eli Lilly,"$22,871 ",($204.10),"$44,981 ","40,655",Health Care,Pharmaceuticals,Indianapolis,IN,22871.0,40655
Amgen,"$22,849 ","$1,979.00 ","$79,954 ","20,800",Health Care,Pharmaceuticals,Thousand Oaks,CA,22849.0,20800
McDonalds,"$22,820 ","$5,192.30 ","$33,804 ","235,000","Hotels, Restaurants &  Leisure",Food Services,Oak Brook,IL,22820.0,235000
Starbucks,"$22,387 ","$2,884.70 ","$14,366 ","277,000","Hotels, Restaurants &  Leisure",Food Services,Seattle,WA,22387.0,277000
Qualcomm,"$22,291 ","$2,466.00 ","$65,486 ","33,800",Technology,Semiconductors and Other Electronic Components,San Diego,CA,22291.0,33800
Dollar Tree,"$22,246 ","$1,714.30 ","$16,333 ","116,200",Retailing,Specialty Retailers: Other,Chesapeake,VA,22246.0,116200
PBF Energy,"$21,787 ",$415.50 ,"$8,118 ","3,165",Energy,Petroleum Refining,Parsippany-Troy Hills,NJ,21787.0,3165
Icahn Enterprises,"$21,744 ","$2,430.00 ","$31,801 ","89,034",Financials,Diversified Financials,New York,NY,21744.0,89034
Aflac,"$21,667 ","$4,604.00 ","$137,217 ","11,318",Financials,"Insurance: Life, Health (stock)",Columbus,GA,21667.0,11318
AutoNation,"$21,535 ",$434.60 ,"$10,272 ","26,000",Retailing,"Automotive Retailing, Services",Fort Lauderdale,FL,21535.0,26000
Penske Automotive Group,"$21,389 ",$613.30 ,"$10,541 ","26,000",Retailing,"Automotive Retailing, Services",Bloomfield Hills,MI,21389.0,26000
Whirlpool,"$21,253 ",$350.00 ,"$20,038 ","92,000",Industrials,"Electronics, Electrical Equip.",Benton Harbor,MI,21253.0,92000
Union Pacific,"$21,240 ","$10,712.00 ","$57,806 ","41,992",Transportation,Railroads,Omaha,NE,21240.0,41992
Southwest Airlines,"$21,171 ","$3,488.00 ","$25,110 ","56,110",Transportation,Airlines,Dallas,TX,21171.0,56110
ManpowerGroup,"$21,034 ",$545.40 ,"$8,884 ","29,000",Business Services,Temporary Help,Milwaukee,WI,21034.0,29000
Thermo Fisher Scientific,"$20,918 ","$2,225.00 ","$56,669 ","66,100",Technology,"Scientific,Photographic and  Control Equipment",Waltham,MA,20918.0,66100
Bristol-Myers Squibb,"$20,776 ","$1,007.00 ","$33,551 ","23,700",Health Care,Pharmaceuticals,New York,NY,20776.0,23700
Halliburton,"$20,620 ",($463.00),"$25,085 ","55,000",Energy,"Oil and Gas Equipment, Services",Houston,TX,20620.0,55000
Tenet Healthcare,"$20,613 ",($704.00),"$23,385 ","111,980",Health Care,Health Care: Medical Facilities,Dallas,TX,20613.0,111980
Lear,"$20,467 ","$1,313.40 ","$11,946 ","165,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Southfield,MI,20467.0,165000
Cummins,"$20,428 ",$999.00 ,"$18,075 ","58,600",Industrials,Industrial Machinery,Columbus,IN,20428.0,58600
Micron Technology,"$20,322 ","$5,089.00 ","$35,336 ","34,100",Technology,Semiconductors and Other Electronic Components,Boise,ID,20322.0,34100
Nucor,"$20,252 ","$1,318.70 ","$15,841 ","25,100",Materials,Metals,Charlotte,NC,20252.0,25100
Molina Healthcare,"$19,883 ",($512.00),"$8,471 ","20,000",Health Care,Health Care: Insurance and Managed Care,Long Beach,CA,19883.0,20000
Fluor,"$19,521 ",$191.40 ,"$9,328 ","56,706",Engineering &  Construction,"Engineering, Construction",Irving,TX,19521.0,56706
Altria Group,"$19,494 ","$10,222.00 ","$43,202 ","8,300","Food, Beverages &  Tobacco",Tobacco,Richmond,VA,19494.0,8300
