Name,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector_x,Industry,City,State,Symbol,Sector_y,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
American Airlines Group,"$42,207 ","$1,919.00 ","$51,396 ","126,600",Transportation,Airlines,Fort Worth,TX,AAL,Industrials,48.6,9.92,0.7782101,3.91,59.08,39.21,24594852352,5761000000.0,0.58022565,6.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL
Charter Communications,"$41,581 ","$9,895.00 ","$146,623 ","94,800",Telecommunications,Telecommunications,Stamford,CT,CHTR,Consumer Discretionary,348.65,162.92,0.0,34.08,408.83,308.3,86708878113,14694000000.0,2.1208633999999997,2.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR
Tyson Foods,"$38,260 ","$1,774.00 ","$28,066 ","122,000","Food, Beverages &  Tobacco",Food Production,Springdale,AR,TSN,Consumer Staples,73.92,13.92,1.6353229,4.79,84.65,57.2,26957526800,2521000000.0,0.93730986,2.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSN
United Continental Holdings,"$37,736 ","$2,131.00 ","$42,326 ","89,800",Transportation,Airlines,Chicago,IL,UAL,Industrials,63.37,8.85,0.0,7.05,83.04,56.51,19363059152,5929000000.0,0.5020496,2.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UAL
Nike,"$34,350 ","$4,240.00 ","$23,259 ","74,400",Apparel,Apparel,Beaverton,OR,NKE,Consumer Discretionary,62.49,24.9,1.2189548000000001,2.51,68.83,50.35,106776113744,5162000000.0,3.0549932,8.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NKE
Andeavor,"$34,204 ","$1,528 ","$28,573 ",14300,Energy,Petroleum Refining,San Antonio,TX,ANDV,Energy,96.9,18.78,2.3454582999999998,6.13,121.71,75.11,15696449735,2548000000.0,0.6618165,1.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANDV
ConocoPhillips,"$32,584 ",($855.00),"$73,362 ","11,400",Energy,"Mining, Crude-Oil Production",Houston,TX,COP,Energy,53.24,72.93,2.049254,-0.65,61.315,42.265,65482462410,5328000000.0,2.0764177,2.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COP
General Dynamics,"$30,973 ","$2,912.00 ","$35,046 ","98,600",Aerospace &  Defense,Aerospace and Defense,Falls Church,VA,GD,Industrials,206.05,20.71,1.5631542,9.55,229.54,181.94,64180390701,4618000000.0,2.0481362,5.45,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GD
Capital One Financial,"$29,999 ","$1,982.00 ","$365,693 ","49,300",Financials,Commercial Banks,McLean,VA,COF,Financials,91.8,11.85,1.6306564,3.45,106.5,76.05,47637260000,0.0,1.5931405,0.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF
Hewlett Packard Enterprise,"$28,871 ",$344.00 ,"$61,406 ","66,000",Technology,"Computers, Office Equipment",Palo Alto,CA,HPE,Information Technology,15.04,11.57,1.9280206000000002,0.21,24.88,12.815,24800859640,3683000000.0,1.4609766000000002,1.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPE
Philip Morris International,"$28,748 ","$6,035.00 ","$42,968 ","80,600","Food, Beverages &  Tobacco",Tobacco,New York,NY,PM,Consumer Staples,100.39,22.36,4.328479,4.48,123.55,96.66,153580671803,11802000000.0,2.7574685000000003,1318.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PM
Abbott Laboratories,"$27,390 ",$477.00 ,"$76,250 ","99,000",Health Care,Medical Products and Equipment,Lake Bluff,IL,ABT,Health Care,56.27,22.51,1.9089824,0.26,64.6,42.28,102121042306,5744000000.0,3.7404803999999996,3.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
Gilead Sciences,"$26,107 ","$4,628.00 ","$70,283 ","10,000",Health Care,Pharmaceuticals,San Mateo,CA,GILD,Health Care,78.22,8.16,2.754954,9.95,89.54,63.75899999999999,108106822109,17590000000.0,5.208746400000001,4.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GILD
Mondelez International,"$25,896 ","$2,922.00 ","$63,109 ","83,000","Food, Beverages &  Tobacco",Food Consumer Products,Deerfield,IL,MDLZ,Consumer Staples,42.68,19.85,1.9977299,1.91,47.23,39.19,65827817742,4355000000.0,2.5708609,2.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MDLZ
U.S. Bancorp,"$23,996 ","$6,218.00 ","$462,040 ","72,402",Financials,Commercial Banks,Minneapolis,MN,USB,Financials,52.65,15.35,2.189781,3.52,58.5,49.535,90940115897,0.0,3.7773547,2.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=USB
